"﻿""証券コード""",CSV略称,正式企業名(和),Qr1略称(和),カナ,正式企業名(英),略称(英),FACTSET業種,旧社名・旧商号,EDINETコード,新証券コード,協会業種,日経業種(小分類),優先市場,配信開始日,売買単位,発行済株式総数,HPアドレス,決算期,配当基準日,決算発表予定日,決算発表履歴,日経業種（中分類）_抽出,上場市場名_抽出,指数採用_抽出
1301,極　洋,極洋,極洋,ｷｮｸﾖｳ,"KYOKUYO CO., LTD.",KYOKUYO,食肉・魚・乳製品,,E00012,325720000,水産・農林業,水産,東証,データなし,100,"12,078,283",http://www.kyokuyo.co.jp,3/末,3/末,3Q連: 2026/02/06 11:00,"1Q: 2025/08/04
2Q: 2025/11/04
3Q: 2025/02/03
通期: 2025/05/12",水産,東証ﾌﾟﾗｲﾑ,
130A,ＶＩＳ,Ｖｅｒｉｔａｓ　Ｉｎ　Ｓｉｌｉｃｏ,ウェリタス,ｳｪﾘﾀｽｲﾝｼﾘｺ,VERITAS IN SILICO INC.,VIS,バイオテクノロジー,,E39268,315534000,医薬品,医家向医薬品,東証,(24/ 2/ 8),100,"6,487,114",https://www.veritasinsilico.com/,12/末,6/末 12/末,本単: 2026/02/12 12:00,"1Q: 2025/05/09
2Q: 2025/08/04
3Q: 2025/11/11
通期: 2025/02/13",医薬品,東証ｸﾞﾛｰｽ,
1332,ニッスイ,ニッスイ,ニッスイ,ﾆｯｽｲ,NISSUI CORP.,NISSUI,製菓業,,E00014,371880000,水産・農林業,水産,東証,データなし,100,"312,430,277",https://www.nissui.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/06 12:00,"1Q: 2025/08/05
2Q: 2025/11/06
3Q: 2025/02/07
通期: 2025/05/14",水産,東証ﾌﾟﾗｲﾑ,日経平均 JPX日経400 日経300 日経500平均
1333,ﾏﾙﾊﾆﾁﾛ,マルハニチロ,マルハニチロ,ﾏﾙﾊﾆﾁﾛ,MARUHA NICHIRO CORP.,MARUNICI,食肉・魚・乳製品,"Ｕｍｉｏｓ
マルハニチロ
マルハニチロホールディングス
青森罐詰
土谷食品
マルハグループ本社
大洋ｴｰｱﾝﾄﾞｴﾌ
マルハ",E00015,387660000,水産・農林業,水産,東証,(14/ 4/ 1),100,"151,736,511",https://www.maruha-nichiro.co.jp/corporate/,3/末,9/末 3/末,3Q連: 2026/02/09 15:00,"1Q: 2025/08/05
2Q: 2025/11/10
3Q: 2025/02/10
通期: 2025/05/12",水産,東証ﾌﾟﾗｲﾑ,日経300 日経500平均
135A,VRAIN,ＶＲＡＩＮ　Ｓｏｌｕｔｉｏｎ,ヴレインＳ,ｳﾞﾚｲﾝｿﾘｭｰｼｮﾝ,"VRAIN SOLUTION, INC.",VRAIN,パッケージ・ソフトウェア,,E39382,315987000,情報・通信業,他サービス業,東証,(24/ 2/22),100,"10,233,000",https://vrain.co.jp/,2/末,8/末 2/末,3Q単: 2026/01/14,"1Q: 2025/07/14
2Q: 2025/10/14
3Q: 2026/01/14
通期: 2025/04/14",サービス,東証ｸﾞﾛｰｽ,
1375,ユキグニ,ユキグニファクトリー,ユキグニ,ﾕｷｸﾞﾆﾌｧｸﾄﾘｰ,"YUKIGUNI FACTORY CO., LTD.",YUKIGUNI,農産物・製粉業,,E00007,394701000,水産・農林業,水産,東証,(20/ 9/17),100,"39,910,700",https://www.yukiguni-factory.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/09 15:00,"1Q: 2025/08/07
2Q: 2025/11/06
3Q: 2025/02/06
通期: 2025/05/09",水産,東証ﾌﾟﾗｲﾑ,
1376,ｶﾈｺ種,カネコ種苗,カネコ種,ｶﾈｺｼｭﾋﾞｮｳ,"KANEKO SEEDS CO., LTD.",KANEKO,林産業,"ベルデ九州
カネコ種苗",E00004,321620000,水産・農林業,水産,東証,(13/ 7/16),100,"11,772,626",http://www.kanekoseeds.jp,5/末,11/末 5/末,2Q連: 2026/01/07,"1Q: 2025/10/03
2Q: 2026/01/07
3Q: 2025/04/04
通期: 2025/07/11",水産,東証ｽﾀﾝﾀﾞｰﾄﾞ,
1377,ｻｶﾀのﾀﾈ,サカタのタネ,サカタタネ,ｻｶﾀﾉﾀﾈ,SAKATA SEED CORP.,SK-SEED,林産業,,E00006,331500000,水産・農林業,水産,東証,データなし,100,"45,410,750",http://www.sakataseed.co.jp,5/末,11/末 5/末,2Q連: 2026/01/13,"1Q: 2025/10/07
2Q: 2026/01/13
3Q: 2025/04/08
通期: 2025/07/14",水産,東証ﾌﾟﾗｲﾑ,日経300
1379,ホクト,ホクト,ホクト,ﾎｸﾄ,HOKUTO CORP.,HOKUTO,農産物・製粉業,,E00008,384325000,水産・農林業,水産,東証,(99/11/29),100,"33,359,040",http://www.hokto-kinoko.co.jp,3/末,9/末 3/末,3Q連: 2026/02/13 15:00,"1Q: 2025/08/08
2Q: 2025/11/14
3Q: 2025/02/14
通期: 2025/05/14",水産,東証ﾌﾟﾗｲﾑ,日経300 日経500平均
137A,Cocolive,Ｃｏｃｏｌｉｖｅ,ココリブ,ｺｺﾘﾌﾞ,"COCOLIVE, INC.",COCOLIVE,パッケージ・ソフトウェア,,E39349,329739000,情報・通信業,他サービス業,東証,(24/ 2/28),100,"3,022,440",https://cocolive.co.jp/,5/末,11/末 5/末,2Q単: 2026/01/09,"1Q: 2025/10/10
2Q: 2026/01/09
3Q: 2025/04/11
通期: 2025/07/11",サービス,東証ｸﾞﾛｰｽ,
1380,秋川牧園,秋川牧園,秋川牧園,ｱｷｶﾜﾎﾞｸｴﾝ,"AKIKAWA FOODS & FARMS CO., LTD.",AKIKAWA,食肉・魚・乳製品,,E00344,310740000,水産・農林業,水産,東証,(13/ 7/16),100,"4,179,000",http://www.akikawabokuen.co.jp,3/末,9/末 3/末,3Q連: 2026/02/13 15:00,"1Q: 2025/08/14
2Q: 2025/11/14
3Q: 2025/02/14
通期: 2025/05/14",水産,東証ｽﾀﾝﾀﾞｰﾄﾞ,
1381,ｱｸｼｰｽﾞ,アクシーズ,アクシーズ,ｱｸｼｰｽﾞ,"AXYZ CO., LTD.",AXYZ,農産物・製粉業,,E00009,310803000,水産・農林業,水産,東証,(13/ 7/16),100,"5,617,500",http://www.axyz-grp.co.jp,6/末,12/末 6/末,2Q連: 2026/01/30 15:00,"1Q: 2025/10/31
2Q: 2025/01/24
3Q: 2025/04/25
通期: 2025/08/08",水産,東証ｽﾀﾝﾀﾞｰﾄﾞ,
1382,ホーブ,ホーブ,ホーブ,ﾎｰﾌﾞ,"HOB CO., LTD.",HOB,農産物・製粉業,,E00010,383763000,水産・農林業,水産,東証,(13/ 7/16),100,"762,000",http://www.hob.co.jp/,6/末,12/末 6/末,2Q連: 2026/02/06,"1Q: 2025/11/07
2Q: 2025/02/06
3Q: 2025/05/08
通期: 2025/08/07",水産,東証ｽﾀﾝﾀﾞｰﾄﾞ,
1383,ﾍﾞﾙｸﾞｱｰｽ,ベルグアース,ベルグアース,ﾍﾞﾙｸﾞｱｰｽ,"BERG EARTH CO., LTD.",BERGEART,農産物・製粉業,"伊予農産
ベルグアース",E25969,383573000,水産・農林業,水産,東証,(13/ 7/16),100,"1,613,580",http://www.bergearth.co.jp/,10/末,4/末 10/末,,"1Q: 2025/03/14
2Q: 2025/06/13
3Q: 2025/09/12
通期: 2025/12/15",水産,東証ｽﾀﾝﾀﾞｰﾄﾞ,
1384,ﾎｸﾘﾖｳ,ホクリヨウ,ホクリヨウ,ﾎｸﾘﾖｳ,"HOKURYO CO., LTD.",HOKURYO,農産物・製粉業,,E31220,384567000,水産・農林業,水産,東証,(15/ 2/20),100,"8,459,000",http://www.hokuryo.co.jp/,3/末,9/末 3/末,3Q単: 2026/02/12 15:00,"1Q: 2025/08/13
2Q: 2025/11/12
3Q: 2025/02/12
通期: 2025/05/14",水産,東証ｽﾀﾝﾀﾞｰﾄﾞ,
138A,光ﾌｰﾄﾞ,光フードサービス,光フードＳ,ﾋｶﾘﾌｰﾄﾞｻｰﾋﾞｽ,"HIKARI FOOD SERVICE CO., LTD.",HIKARIF,レストラン,,E39377,378341000,小売業,他サービス業,東証,(24/ 2/28),100,"992,000",https://hikari-food-service.jp/,11/末,5/末 11/末,本単: 2026/01/14,"1Q: 2025/04/14
2Q: 2025/07/14
3Q: 2025/10/14
通期: 2026/01/14",サービス,名証ﾈｸｽﾄ 東証ｸﾞﾛｰｽ,
1401,ｴﾑﾋﾞｰｴｽ,エムビーエス,エムビーエス,ｴﾑﾋﾞｰｴｽ,"MBS, INC.",MBS,住宅建設,,E00323,316766000,建設業,その他建設,東証,(15/ 8/13),100,"7,732,000",http://www.homemakeup.co.jp,5/末,11/末 5/末,2Q単: 2026/01/14,"1Q: 2025/10/14
2Q: 2026/01/14
3Q: 2025/04/11
通期: 2025/07/14",建設,福証Q-Board 東証ｸﾞﾛｰｽ,
1407,ｳｴｽﾄHD,ウエストホールディングス,ウエストＨＤ,ｳｴｽﾄﾎｰﾙﾃﾞｨﾝｸﾞｽ,WEST HOLDINGS CORP.,WEST HD,代替発電,"ウエストホールディングス
ウエスト",E00327,315475000,建設業,中堅建設,東証,(13/ 7/16),100,"46,027,488",http://www.west-gr.co.jp/,8/末,2/末 8/末,1Q連: 2026/01/14,"1Q: 2026/01/14
2Q: 2025/04/14
3Q: 2025/07/15
通期: 2025/10/15",建設,東証ｽﾀﾝﾀﾞｰﾄﾞ,
1414,ｼｮｰﾎﾞﾝﾄﾞ,ショーボンドホールディングス,ショーボンド,ｼｮｰﾎﾞﾝﾄﾞﾎｰﾙﾃﾞｨﾝｸﾞｽ,"SHO-BOND HOLDINGS CO., LTD.",SHO-BOND,建設・土木,"ショーボンドホールディングス
ショーボンド建設",E00329,336025000,建設業,土木道路浚渫,東証,(08/ 1/ 4),100,"218,980,720",http://www.sho-bondhd.jp/,6/末,12/末 6/末,2Q連: 2026/02/10 15:00,"1Q: 2025/11/10
2Q: 2025/02/10
3Q: 2025/05/09
通期: 2025/08/12",建設,東証ﾌﾟﾗｲﾑ,JPX日経400
1417,ﾐﾗｲﾄ･ﾜﾝ,ミライト・ワン,ミライトワン,ﾐﾗｲﾄﾜﾝ,MIRAIT ONE CORP.,MIRAITON,建設・土木,"ミライト・ワン
ﾄｰｴｲ電気通信
ミライト
四国通建
ホープネット
日設
日進通工
ミライト・ホールディングス
ＴＴＫ
コミューチュア
ソルコム
大明
近畿通信建設
東北通信建設
大明電話工業
広島建設工業
東電通",E24558,391062000,建設業,電設工事,東証,(10/10/ 1),100,"91,325,329",https://www.mirait-one.com/,3/末,9/末 3/末,3Q連: 2026/02/13 15:00,"1Q: 2025/08/12
2Q: 2025/11/13
3Q: 2025/02/14
通期: 2025/05/13",建設,東証ﾌﾟﾗｲﾑ,
1418,ｲﾝﾀｰﾗｲﾌ,インターライフホールディングス,インタライフ,ｲﾝﾀｰﾗｲﾌﾎｰﾙﾃﾞｨﾝｸﾞｽ,"INTERLIFE HOLDINGS CO., LTD.",INTRLIFE,建設・土木,"インターライフホールディングス
日商インターライフ",E24512,315286000,建設業,その他建設,東証,(13/ 7/16),100,"17,010,529",http://www.n-interlife.co.jp/,2/末,8/末 2/末,3Q連: 2026/01/14,"1Q: 2025/07/15
2Q: 2025/10/15
3Q: 2026/01/14
通期: 2025/04/14",建設,東証ｽﾀﾝﾀﾞｰﾄﾞ,
1419,ﾀﾏﾎｰﾑ,タマホーム,タマホーム,ﾀﾏﾎｰﾑ,"TAMA HOME CO., LTD.",TAMAHOME,住宅建設,,E27305,347090000,建設業,住宅,東証,(13/ 3/27),100,"29,455,800",http://www.tamahome.jp/,5/末,11/末 5/末,2Q連: 2026/01/13,"1Q: 2025/10/14
2Q: 2026/01/13
3Q: 2025/04/10
通期: 2025/07/11",建設,東証ﾌﾟﾗｲﾑ 福証,JPX日経400
141A,ﾄﾗｲｱﾙ,トライアルホールディングス,トライアル,ﾄﾗｲｱﾙﾎｰﾙﾃﾞｨﾝｸﾞｽ,"TRIAL HOLDINGS, INC.",TRIAL,専門小売,,E38525,363549000,小売業,スーパー,東証,(24/ 3/21),100,"122,465,700",https://trial-holdings.inc/,6/末,12/末 6/末,2Q連: 2026/02/12 15:00,"1Q: 2025/11/13
2Q: 2025/02/13
3Q: 2025/05/14
通期: 2025/08/13",小売業,東証ｸﾞﾛｰｽ,
1420,ｻﾝﾖｰH,サンヨーホームズ,サンヨーＨ,ｻﾝﾖｰﾎｰﾑｽﾞ,SANYO HOMES CORP.,SANYO H,住宅建設,,E27273,333755000,建設業,住宅,東証,(13/ 4/ 9),100,"12,860,000",http://www.sanyohomes.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/06 15:00,"1Q: 2025/08/07
2Q: 2025/11/11
3Q: 2025/02/05
通期: 2025/05/12",建設,東証ｽﾀﾝﾀﾞｰﾄﾞ,
1429,日本ｱｸｱ,日本アクア,日本アクア,ﾆﾎﾝｱｸｱ,"NIPPON AQUA CO., LTD.",NP AQUA,特殊加工,,E30126,368614000,建設業,その他建設,東証,(13/12/13),100,"34,760,000",http://www.n-aqua.jp/,12/末,6/末 12/末,本単: 2026/02/13 15:00,"1Q: 2025/05/09
2Q: 2025/08/08
3Q: 2025/11/07
通期: 2025/02/07",建設,東証ﾌﾟﾗｲﾑ,
142A,ジンジブ,ジンジブ,ジンジブ,ｼﾞﾝｼﾞﾌﾞ,"JINJIB CO., LTD.",JINJIB,人材サービス,,E39367,339495000,サービス業,他サービス業,東証,(24/ 3/22),100,"2,902,600",https://jinjib.co.jp/,3/末,9/末 3/末,3Q単: 2026/02/13 15:00,"1Q: 2025/08/12
2Q: 2025/11/14
3Q: 2025/02/14
通期: 2025/05/15",サービス,東証ｸﾞﾛｰｽ,
1430,ﾌｧｰｽﾄｺﾎﾟ,ファーストコーポレーション,１ｓｔコーポ,ﾌｧｰｽﾄｺｰﾎﾟﾚｰｼｮﾝ,FIRST-CORPORATION INC.,F-CORP,住宅建設,,E31306,380221000,建設業,住宅,東証,(15/ 3/24),100,"13,363,540",http://1st-corp.com/index.html,5/末,11/末 5/末,2Q連: 2026/01/14,"1Q: 2025/10/14
2Q: 2026/01/14
3Q: 2025/04/14
通期: 2025/07/15",建設,東証ｽﾀﾝﾀﾞｰﾄﾞ,
1431,ﾘﾌﾞﾜｰｸ,Ｌｉｂ　Ｗｏｒｋ,リブワーク,ﾘﾌﾞﾜｰｸ,"LIB WORK CO., LTD.",LIBWORK,建設・土木,,E31614,316268000,建設業,住宅,東証,(19/ 6/18),100,"24,151,540",http://www.libwork.co.jp/,6/末,9/末 12/末 3/末 6/末,2Q連: 2026/02/12 15:00,"1Q: 2025/11/12
2Q: 2025/02/12
3Q: 2025/05/13
通期: 2025/08/12",建設,福証Q-Board 東証ｸﾞﾛｰｽ,
1433,ベステラ,ベステラ,ベステラ,ﾍﾞｽﾃﾗ,"BESTERRA CO., LTD.",BESTERRA,建設・土木,,E31731,383555000,建設業,その他建設,東証,(15/ 9/ 2),100,"9,257,000",http://www.besterra.co.jp/,1/末,7/末 1/末,,"1Q: 2025/06/09
2Q: 2025/09/09
3Q: 2025/12/10
通期: 2025/03/12",建設,東証ﾌﾟﾗｲﾑ,
1434,JESCO HD,ＪＥＳＣＯホールディングス,ＪＥＳＣＯ,ｼﾞｪｽｺﾎｰﾙﾃﾞｨﾝｸﾞｽ,"JESCO HOLDINGS, INC.",JESCO HD,建設・土木,,E31741,338657000,建設業,電設工事,東証,(15/ 9/ 8),100,"6,975,400",http://www.jesco.co.jp/,8/末,2/末 8/末,1Q連: 2026/01/14,"1Q: 2026/01/14
2Q: 2025/04/14
3Q: 2025/07/14
通期: 2025/10/10",建設,東証ｽﾀﾝﾀﾞｰﾄﾞ,
1435,robothom,ｒｏｂｏｔ　ｈｏｍｅ,ロボホーム,ﾛﾎﾞｯﾄﾎｰﾑ,ROBOT HOME INC.,ROBOTHOM,不動産開発,,E31925,315395000,不動産業,分譲,東証,(15/12/ 3),100,"91,127,000",https://corp.robothome.jp/,12/末,6/末 12/末,本連: 2026/02/12 15:00,"1Q: 2025/05/13
2Q: 2025/08/08
3Q: 2025/11/13
通期: 2025/02/14",不動産,東証ｽﾀﾝﾀﾞｰﾄﾞ,
1436,ｸﾞﾘｰﾝｴﾅｼ,グリーンエナジー＆カンパニー,グリーンエナ,ｸﾞﾘｰﾝｴﾅｼﾞｰｱﾝﾄﾞｶﾝﾊﾟﾆｰ,GREENENERGY & COMPANY INC.,GREENENE,その他商業サービス,,E32163,380298000,建設業,住宅,東証,(16/ 3/11),100,"4,286,000",https://green-energy.co.jp/,4/末,10/末 4/末,,"1Q: 2025/09/09
2Q: 2025/12/09
3Q: 2025/03/11
通期: 2025/06/10",建設,東証ｸﾞﾛｰｽ,
1438,岐阜造園,岐阜造園,岐阜造園,ｷﾞﾌｿﾞｳｴﾝ,"GIFU LANDSCAPE ARCHITECT CO., LTD.",GIFULAND,その他商業サービス,,E32682,326485000,建設業,土木道路浚渫,東証,(22/ 9/28),100,"3,244,600",http://www.gifu-zohen.co.jp/,9/末,3/末 9/末,1Q連: 2026/02/13 15:00,"1Q: 2025/02/14
2Q: 2025/05/15
3Q: 2025/08/08
通期: 2025/11/14",建設,東証ｽﾀﾝﾀﾞｰﾄﾞ 名証ﾒｲﾝ,
143A,イシン,イシン,イシン,ｲｼﾝ,"ISHIN CO., LTD.",ISHIN,パッケージ・ソフトウェア,,E39406,313697000,サービス業,他サービス業,東証,(24/ 3/25),100,"1,932,700",https://ishin1853.co.jp/,3/末,9/末 3/末,,"1Q: 2025/08/08
2Q: 2025/11/14
3Q: 2025/02/07
通期: 2025/05/09",サービス,東証ｸﾞﾛｰｽ,
1443,技研ＨＤ,技研ホールディングス,技研ＨＤ,ｷﾞｹﾝﾎｰﾙﾃﾞｨﾝｸﾞｽ,"GIKEN HOLDINGS CO., LTD.",GIKENHD,建設・土木,"技研ホールディングス
技研興業",データなし,326430000,建設業,土木道路浚渫,東証,(18/ 1/ 9),100,"16,237,977",http://www.giken-hd.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/16 15:00,"1Q: 2025/08/14
2Q: 2025/11/14
3Q: 2025/02/14
通期: 2025/05/20",建設,東証ｽﾀﾝﾀﾞｰﾄﾞ,
1444,ニッソウ,ニッソウ,ニッソウ,ﾆｯｿｳ,"NISSOU CO., LTD.",NISSOU,住宅建設,,E33910,367984000,建設業,その他建設,東証,(22/ 7/25),100,"1,088,700",http://reform-nisso.co.jp/,7/末,1/末 7/末,,"1Q: 2025/12/15
2Q: 2025/03/17
3Q: 2025/06/12
通期: 2025/09/12",建設,名証ﾈｸｽﾄ 東証ｸﾞﾛｰｽ,
1446,ｷｬﾝﾃﾞｨﾙ,キャンディル,キャンディル,ｷｬﾝﾃﾞｨﾙ,"CANDEAL CO., LTD.",CANDEAL,住宅建設,,E34095,324453000,建設業,その他建設,東証,(18/ 7/ 5),100,"10,734,200",http://www.candeal.co.jp/,9/末,3/末 9/末,1Q連: 2026/02/10 15:00,"1Q: 2025/02/10
2Q: 2025/05/14
3Q: 2025/08/06
通期: 2025/11/12",建設,東証ｽﾀﾝﾀﾞｰﾄﾞ,
1447,SAAFHD,ＳＡＡＦホールディングス,ＳＡＡＦＨＤ,ｻｰﾌﾎｰﾙﾃﾞｨﾝｸﾞｽ,"SAAF HOLDINGS CO., LTD.",SAAF HD,その他商業サービス,"ＳＡＡＦホールディングス
ＩＴｂｏｏｋ
サムシングホールディングス
デュオシステムズ
ＩＴｂｏｏｋホールディングス",データなし,310486000,建設業,その他建設,東証,(18/10/ 1),100,"24,446,958",https://www.saaf-hd.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/12,"1Q: 2025/08/14
2Q: 2025/11/14
3Q: 2025/02/14
通期: 2025/05/15",建設,東証ｸﾞﾛｰｽ,
1450,TANAKEN,ＴＡＮＡＫＥＮ,タナケン,ﾀﾅｹﾝ,TANAKEN INC.,TANAKEN,建設・土木,,E34486,346886000,建設業,その他建設,東証,(18/12/18),100,"8,699,600",https://www.tanaken-1982.co.jp/ja/index.html,3/末,9/末 3/末,3Q単: 2026/02/06 15:00,"1Q: 2025/08/01
2Q: 2025/11/07
3Q: 2025/02/07
通期: 2025/05/09",建設,東証ｽﾀﾝﾀﾞｰﾄﾞ,
145A,ｴﾙｲｽﾞﾋﾞｰ,Ｌ　ｉｓ　Ｂ,エルイズビー,ｴﾙｲｽﾞﾋﾞｰ,L IS B CORP.,L IS B,パッケージ・ソフトウェア,,E39409,316773000,情報・通信業,他サービス業,東証,(24/ 3/26),100,"5,124,800",https://l-is-b.com/ja/,12/末,6/末 12/末,本連: 2026/02/13 15:00,"1Q: 2025/05/15
2Q: 2025/08/14
3Q: 2025/11/14
通期: 2025/02/14",サービス,東証ｸﾞﾛｰｽ,
146A,ｺﾛﾝﾋﾞｱ,コロンビア・ワークス,コロンビア,ｺﾛﾝﾋﾞｱﾜｰｸｽ,COLUMBIA WORKS INC.,COLUMBIA,不動産開発,,E39407,330594000,不動産業,分譲,東証,(24/ 3/27),100,"7,716,600",https://columbiaworks.jp/,12/末,6/末 12/末,本連: 2026/02/12 16:00,"1Q: 2025/05/14
2Q: 2025/08/13
3Q: 2025/11/12
通期: 2025/02/13",不動産,東証ｽﾀﾝﾀﾞｰﾄﾞ,
147A,ソラコム,ソラコム,ソラコム,ｿﾗｺﾑ,"SORACOM, INC.",SORACOM,パッケージ・ソフトウェア,,E39483,343624000,情報・通信業,通信,東証,(24/ 3/26),100,"45,325,241",https://soracom.com/ja/,3/末,!!!!,3Q連: 2026/02/12 15:00,"1Q: 2025/08/14
2Q: 2025/11/12
3Q: 2025/02/13
通期: 2025/05/14",通信,東証ｸﾞﾛｰｽ,
148A,ﾊｯﾁ･ﾜｰｸ,ハッチ・ワーク,ハッチワーク,ﾊｯﾁﾜｰｸ,"HATCH WORK CO., LTD.",HATCH WO,パッケージ・ソフトウェア,,E39410,376935000,情報・通信業,他サービス業,東証,(24/ 3/26),100,"1,918,600",https://hatchwork.co.jp/,12/末,6/末 12/末,本単: 2026/02/12 15:00,"1Q: 2025/05/13
2Q: 2025/08/12
3Q: 2025/11/12
通期: 2025/02/12",サービス,東証ｸﾞﾛｰｽ,
1491,中外鉱,中外鉱業,中外鉱,ﾁｭｳｶﾞｲｺｳｷﾞｮｳ,"CHUGAI MINING CO., LTD.",CHUGAIM,各種金属・鉱業,,E00027,351900000,非鉄金属,その他鉱業,東証,データなし,100,"14,487,399",http://www.chugaikogyo.co.jp,3/末,9/末 3/末,3Q連: 2026/02/13 16:00,"1Q: 2025/08/13
2Q: 2025/11/13
3Q: 2025/02/14
通期: 2025/05/15",鉱業,東証ｽﾀﾝﾀﾞｰﾄﾞ,
149A,シンカ,シンカ,シンカ,ｼﾝｶ,"THINCA CO., LTD.",THINCA,パッケージ・ソフトウェア,,E39161,337167000,情報・通信業,他サービス業,東証,(24/ 3/27),100,"3,206,320",https://www.thinca.co.jp/,12/末,6/末 12/末,本単: 2026/02/13 15:00,"1Q: 2025/05/15
2Q: 2025/08/14
3Q: 2025/11/14
通期: 2025/02/14",サービス,東証ｸﾞﾛｰｽ,
150A,ＪＳＨ,ＪＳＨ,ＪＳＨ,ｼﾞｪｲｴｽｴｲﾁ,"JSH CO., LTD.",JSH,人材サービス,,E39184,338692000,サービス業,他サービス業,東証,(24/ 3/26),100,"5,666,100",https://www.jsh-japan.jp/,3/末,9/末 3/末,3Q連: 2026/02/12 15:00,"1Q: 2025/08/13
2Q: 2025/11/12
3Q: 2025/02/12
通期: 2025/05/14",サービス,東証ｸﾞﾛｰｽ,
1514,住石ＨＤ,住石ホールディングス,住石ＨＤ,ｽﾐｾｷﾎｰﾙﾃﾞｨﾝｸﾞｽ,"SUMISEKI HOLDINGS, INC.",SUMISEKI,卸売業,"住石ホールディングス
住友石炭鉱業",E21342,340075000,鉱業,石炭鉱業,東証,(08/10/ 1),100,"67,222,853",http://www.sumiseki.co.jp,3/末,3/末,,"1Q: 2025/07/31
2Q: 2025/10/31
3Q: 2025/01/30
通期: 2025/05/15",鉱業,東証ｽﾀﾝﾀﾞｰﾄﾞ,
1515,日鉄鉱,日鉄鉱業,日鉄鉱,ﾆｯﾃﾂｺｳｷﾞｮｳ,"NITTETSU MINING CO., LTD.",NITTETU,その他商業サービス,,E00036,368080000,鉱業,その他鉱業,東証,データなし,100,"80,000,000",http://www.nittetsukou.co.jp,3/末,9/末 3/末,3Q連: 2026/02/06 15:00,"1Q: 2025/08/06
2Q: 2025/11/07
3Q: 2025/02/06
通期: 2025/05/12",鉱業,東証ﾌﾟﾗｲﾑ,
1518,三井松島,三井松島ホールディングス,三井松島ＨＤ,ﾐﾂｲﾏﾂｼﾏﾎｰﾙﾃﾞｨﾝｸﾞｽ,"MITSUI MATSUSHIMA HOLDINGS CO., LTD.",MIT-MAT,建設資材,,E00037,389400000,その他製品,その他製造業,東証,データなし,100,"65,322,000",http://www.mitsui-matsushima.co.jp/,3/末,9/末 3/末,3Q連: 2026/02/13 16:00,"1Q: 2025/08/08
2Q: 2025/11/07
3Q: 2025/02/14
通期: 2025/05/13",その他製造,東証ﾌﾟﾗｲﾑ 福証,JPX日経400
151A,ダイブ,ダイブ,ダイブ,ﾀﾞｲﾌﾞ,DIVE INC.,DIVE,人材サービス,,E39476,349760000,サービス業,他サービス業,東証,(24/ 3/27),100,"8,494,275",https://dive.design/,6/末,12/末 6/末,2Q単: 2026/02/06 15:00,"1Q: 2025/11/07
2Q: 2025/02/07
3Q: 2025/05/09
通期: 2025/08/08",サービス,東証ｸﾞﾛｰｽ,
153A,カウリス,カウリス,カウリス,ｶｳﾘｽ,CAULIS INC.,CAULIS,パッケージ・ソフトウェア,,E39397,320575000,情報・通信業,他サービス業,東証,(24/ 3/28),100,"6,511,900",https://caulis.jp/,12/末,6/末 12/末,本単: 2026/02/13 15:00,"1Q: 2025/05/15
2Q: 2025/08/14
3Q: 2025/11/14
通期: 2025/02/14",サービス,東証ｸﾞﾛｰｽ,
155A,情報戦略,情報戦略テクノロジー,情報戦略テク,ｼﾞｮｳﾎｳｾﾝﾘｬｸﾃｸﾉﾛｼﾞｰ,"INFORMATION STRATEGY AND TECHNOLOGY CO., LTD.",INFOSTRA,情報技術サービス,,E39405,339370000,情報・通信業,他サービス業,東証,(24/ 3/28),100,"10,627,762",https://www.is-tech.co.jp/,12/末,6/末 12/末,本連: 2026/02/13 15:00,"1Q: 2025/05/14
2Q: 2025/08/13
3Q: 2025/11/13
通期: 2025/02/13",サービス,東証ｸﾞﾛｰｽ,
156A,ﾏﾃﾘｱﾙG,マテリアルグループ,マテリアルＧ,ﾏﾃﾘｱﾙｸﾞﾙｰﾌﾟ,MATERIAL GROUP INC.,MATERIAL,その他商業サービス,,E39473,386985000,サービス業,他サービス業,東証,(24/ 3/29),100,"9,877,197",https://materialgroup.jp/,8/末,2/末 8/末,1Q連: 2026/01/14,"1Q: 2026/01/14
2Q: 2025/04/14
3Q: 2025/07/14
通期: 2025/10/14",サービス,東証ｸﾞﾛｰｽ,
157A,Gﾓﾝｽﾀｰ,グリーンモンスター,Ｇモンスター,ｸﾞﾘｰﾝﾓﾝｽﾀｰ,GREEN MONSTER INC.,GMONSTER,パッケージ・ソフトウェア,,E39408,327417000,サービス業,他サービス業,東証,(24/ 3/29),100,"3,224,300",https://greenmonster.co.jp/,6/末,12/末 6/末,2Q連: 2026/02/13 16:00,"1Q: 2025/11/13
2Q: 2025/02/14
3Q: 2025/05/15
通期: 2025/08/14",サービス,東証ｸﾞﾛｰｽ,
